Campaign_ID,Campaign_Name,Campaign_Type,Start_Date,End_Date,Budget,Impressions,Clicks,Conversions,Conversion_Rate,Revenue,Target_Audience
CAM-001,Influencer Promo,Influencer,2024-12-21,2025-01-02,187810,103934,4335,140,0.03242826313662795,1080660,18-24
CAM-002,Black Friday Deal,App,2024-11-19,2024-12-09,474894,147980,6172,650,0.10536590377585166,6132750,45-54
CAM-003,New Year Sale,TV,2024-05-12,2024-06-05,22109,424639,17711,2141,0.120922093089011,20761277,35-44
CAM-004,Email Campaign A,App,2024-10-19,2024-11-06,294154,341851,14258,1897,0.13311676219062568,13961920,45-54
CAM-005,Product Launch,App,2024-11-23,2024-12-10,280931,214329,8939,1286,0.14395369327541763,11132902,25-34
CAM-006,App Promo,Social Media,2024-05-06,2024-05-25,249472,262354,10942,717,0.06558902903408872,3291030,55+
CAM-007,Black Friday Deal,TV,2024-04-15,2024-05-12,149544,66215,2761,60,0.021796179798520887,131520,55+
CAM-008,New Year Sale,TV,2024-04-01,2024-04-30,256183,191907,8004,1202,0.15021985922388417,2961728,55+
CAM-009,App Promo,TV,2024-10-13,2024-10-30,164455,316573,13204,1537,0.11641818788256417,2136430,55+
CAM-010,Social Media Blitz,App,2024-02-20,2024-03-20,333853,349296,14569,2484,0.1705011865773048,16431660,55+
CAM-011,App Promo,Influencer,2024-01-29,2024-02-20,473001,113048,4715,791,0.167849905322125,5620846,55+
CAM-012,Summer Sale,TV,2024-10-22,2024-11-12,254325,174530,7279,1250,0.17179871020181897,12330000,18-24
CAM-013,Black Friday Deal,App,2024-10-23,2024-11-19,44518,182241,7601,815,0.10731703879631724,2901400,35-44
CAM-014,Holiday Discount,Social Media,2024-08-01,2024-08-22,63909,143731,5995,479,0.08005311125063583,3289293,55+
CAM-015,Influencer Promo,Influencer,2024-09-23,2024-10-03,290495,458830,19137,3109,0.16248047646644662,6873999,35-44
CAM-016,Product Launch,Social Media,2024-09-13,2024-09-30,210696,244977,10218,1034,0.1012329403452659,2625326,55+
CAM-017,Holiday Discount,Influencer,2024-10-28,2024-11-22,456546,344384,14364,761,0.053019595352618215,1250323,45-54
CAM-018,New Year Sale,App,2024-04-10,2024-05-01,25282,431009,17977,3126,0.17389532352106538,30300318,55+
CAM-019,Black Friday Deal,Email,2024-12-11,2024-12-21,488082,118688,4950,885,0.17886077781902252,8780085,25-34
CAM-020,Influencer Promo,Influencer,2024-04-19,2024-05-16,249017,313617,13081,1359,0.10393575610523063,3102597,18-24
CAM-021,App Promo,Social Media,2024-06-30,2024-07-19,424994,363906,15178,510,0.033625950915761746,4426800,45-54
CAM-022,Black Friday Deal,App,2024-11-08,2024-12-06,427480,225460,9404,844,0.08980869618504764,7043180,45-54
CAM-023,App Promo,Influencer,2024-01-01,2024-01-26,462891,495834,20681,3404,0.16463677870326862,18333944,25-34
CAM-024,Social Media Blitz,Email,2024-11-14,2024-11-22,277219,486546,20293,3699,0.18231932513832116,7098381,55+
CAM-025,Summer Sale,Email,2024-02-24,2024-03-15,479164,374100,15603,883,0.05662509364956725,2948337,18-24
CAM-026,TV Campaign X,TV,2024-05-28,2024-06-07,189526,385596,16083,515,0.032055250164548875,5122705,45-54
CAM-027,Black Friday Deal,TV,2024-11-04,2024-11-26,38365,191823,8000,1423,0.17792308156391096,9861390,18-24
CAM-028,New Year Sale,Social Media,2024-05-16,2024-06-12,475982,393455,16411,1478,0.09009288901619757,9462156,45-54
CAM-029,App Promo,Influencer,2024-07-20,2024-08-15,451416,214987,8967,1053,0.1175169735681614,7016139,55+
CAM-030,Holiday Discount,Influencer,2024-11-08,2024-11-28,283146,452470,18872,3665,0.19425184616913663,22997875,45-54
CAM-031,Social Media Blitz,TV,2024-04-26,2024-05-17,286091,274150,11434,365,0.03198165102456012,550055,45-54
CAM-032,New Year Sale,Influencer,2024-06-02,2024-06-11,220294,254243,10604,1449,0.1366972413413772,3529764,35-44
CAM-033,Product Launch,Influencer,2024-10-17,2024-10-31,366984,79218,3304,110,0.03333897606347608,1072500,55+
CAM-034,TV Campaign X,Email,2024-03-03,2024-03-25,126219,201416,8401,735,0.08758440712397007,6140190,25-34
CAM-035,Social Media Blitz,TV,2024-08-31,2024-09-16,350754,432056,18021,2967,0.1646866181348204,16365972,25-34
CAM-036,Summer Sale,App,2024-01-25,2024-02-04,324286,37430,1561,153,0.09802500189601421,707166,55+
CAM-037,TV Campaign X,TV,2024-03-30,2024-04-23,66307,28091,1171,233,0.19949282370253107,1257967,25-34
CAM-038,App Promo,App,2024-03-15,2024-03-23,145565,262125,10933,1318,0.1206306712903884,7956766,55+
CAM-039,New Year Sale,Email,2024-10-20,2024-11-12,265095,431199,17985,1399,0.07780918747447163,12746289,25-34
CAM-040,Product Launch,Social Media,2024-07-28,2024-08-16,322229,28989,1209,72,0.05962003866285556,339480,35-44
CAM-041,Email Campaign A,Influencer,2024-12-12,2024-12-22,44228,80451,3355,278,0.08309369617150913,2456686,25-34
CAM-042,Summer Sale,Email,2024-01-17,2024-02-03,220748,23990,1000,87,0.08705598927671916,200187,45-54
CAM-043,Influencer Promo,Influencer,2024-05-07,2024-05-20,455091,357414,14907,482,0.03236846199031298,4034340,55+
CAM-044,App Promo,Social Media,2024-12-29,2025-01-16,434871,347504,14494,1254,0.08652335589681918,7755990,18-24
CAM-045,Email Campaign A,Social Media,2024-09-07,2024-09-23,53472,255541,10658,1103,0.1035629335530605,3479965,18-24
CAM-046,Black Friday Deal,Email,2024-06-27,2024-07-10,321581,303225,12647,1898,0.15009279540298484,14066078,55+
CAM-047,Product Launch,Social Media,2024-06-30,2024-07-19,452632,147105,6135,847,0.13821130724988945,6238155,35-44
CAM-048,Holiday Discount,App,2024-05-31,2024-06-13,331855,375416,15658,2310,0.14757781794124777,3908520,25-34
CAM-049,Influencer Promo,Social Media,2024-01-25,2024-02-17,147888,283385,11820,254,0.02150546273783428,629412,35-44
CAM-050,New Year Sale,Influencer,2024-06-28,2024-07-14,87175,129932,5419,320,0.05918013192449649,2366720,18-24
CAM-051,Product Launch,Influencer,2024-07-16,2024-08-01,74307,273083,11390,1584,0.1391031719119742,14965632,55+
CAM-052,TV Campaign X,Influencer,2024-12-09,2024-12-19,318877,118000,4921,527,0.1071180862723545,759407,55+
